_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
85 , 24.67708 , 29.43969 , 24.85 , 29.401899 , "135.11" , "-32.31" , "SWIFT J0138.8+29" , "Galaxy" , "IRAS F01365+29" , 4.9 , 6.33 , 3.08 , 10.81 , 0.076 , 43.951 , 5.72 , 0.8 , 2.38 , 1.54 , 3.7
86 , 24.65833 , -39.99103 , 24.6548 , -40.011398 , "268.66" , "-73.85" , "SWIFT J0138.6-40" , "Sy2" , " " , 32.9 , 68.66 , 64.61 , 72.8 , 0.025 , 43.998 , 0.9 , 2.8 , 1.76 , 1.68 , 1.84
87 , 25.16125 , -53.34411 , 25.111626 , -53.327557 , "287.08" , "-62.25" , "SWIFT J0140.6-53" , "Sy2" , " " , 8 , 12.44 , 9.38 , 15.88 , 0.074 , 44.227 , 3.52 , 0.1 , 2.25 , 1.89 , 2.66
88 , 25.48375 , 39.38547 , 25.490625 , 39.391445 , "133.46" , "-22.45" , "SWIFT J0142.0+39" , "Sy1" , " " , 6.6 , 13.61 , 9.58 , 18.16 , 0.08 , 44.332 , 4.27 , 0.6 , 1.95 , 1.53 , 2.44
89 , 26.5475 , 61.74667 , 26.593399 , 61.7509 , "129.36" , "-0.44" , "SWIFT J0146.0+61" , "AXP" , " " , 25.5 , 109.1 , 103.6 , 114.7 , 0 , -9.9 , 1.14 , 1.7 , 0.91 , 0.84 , 0.99
90 , 27.29125 , 21.85831 , 27.3536 , 21.997299 , "140.26" , "-39.07" , "SWIFT J0149.2+21" , "Galaxy" , " " , 6.8 , 8.17 , 0 , 0 , 0.009 , 42.211 , 4.11 , 0.7 , 1.86 , 0 , 0
91 , 27.29125 , 21.85831 , 27.248678 , 21.759272 , "140.26" , "-39.07" , "SWIFT J0149.2+21" , "Galaxy" , " " , 6.8 , 8.69 , 0 , 0 , -1 , -9.9 , 4.11 , 1.5 , 2.14 , 0 , 0
92 , 27.38375 , -50.33886 , 27.342793 , -50.252056 , "281.28" , "-64.28" , "SWIFT J0149.9-50" , "Galaxy" , " " , 5.7 , 12.54 , 8.36 , 17.17 , -1 , -9.9 , 4.91 , 0.9 , 1.46 , 0.99 , 1.96
93 , 27.8875 , -36.19567 , 27.9245 , -36.187801 , "252.04" , "-74.36" , "SWIFT J0151.3-36" , "Sy1" , " " , 5 , 8.22 , 5.08 , 11.95 , 0.033 , 43.327 , 5.65 , 0.4 , 2.23 , 1.7 , 2.96
94 , 28.21083 , -3.4155 , 28.204201 , -3.4468 , "157.33" , "-62.12" , "SWIFT J0152.8-03" , "Sy2" , " " , 10.7 , 22.86 , 18.77 , 27.26 , 0.017 , 43.183 , 2.63 , 2 , 1.92 , 1.69 , 2.17
95 , 28.65125 , -27.14092 , 28.667917 , -27.116943 , "216.59" , "-75.96" , "SWIFT J0154.9-27" , "QSO" , " " , 8.9 , 15.33 , 11.86 , 19.15 , 0.79 , 46.651 , 3.15 , 0.4 , 2.2 , 1.89 , 2.57
96 , 28.84125 , 2.48583 , 28.85375 , 2.471167 , "152.92" , "-56.62" , "SWIFT J0155.4+02" , "Sy1" , " " , 5.9 , 11.33 , 7.59 , 15.62 , 0.082 , 44.275 , 4.78 , 0.1 , 2.13 , 1.67 , 2.69
97 , 29.26 , 47.272 , 29.295628 , 47.266579 , "134.32" , "-14.15" , "SWIFT J0157.2+47" , "Galaxy" , " " , 6.9 , 15.97 , 11.93 , 20.38 , 0 , -9.9 , 4.09 , 0.8 , 1.82 , 1.48 , 2.18
98 , 29.2975 , -73.00292 , 29.317289 , -72.9757 , "296.4" , "-43.29" , "SWIFT J0157.8-73" , "HMXB" , " " , 5.9 , 8.68 , 5.85 , 12.04 , 0 , -9.9 , 4.78 , 1.1 , 2.52 , 2 , 3.22
99 , 30.12208 , 24.47606 , 30.079399 , 24.4737 , "142.37" , "-35.78" , "SWIFT J0200.3+24" , "Sy2" , " " , 5.8 , 14.36 , 9.76 , 19.47 , 0.016 , 42.941 , 4.88 , 1.1 , 1.75 , 1.3 , 2.25
