_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
112 , 0FGL J1457.6-3538 , CGRaBS J1457-3539 , 224.40667 , -35.64 , 329.93 , 20.52 , 39.6 , T , (301+/-5)10^-9 , FSRQ , 4.6
113 , 0FGL J1459.4-6056 , LAT PSR J1459-60 , 224.87375 , -60.93697 , 317.86 , -1.84 , 15.9 , F , (2.5+/-1.2)10^-7 , Pulsar , 7.1
114 , 0FGL J1504.4+1030 , CGRaBS J1504+1029 , 226.115 , 10.505 , 11.4 , 54.57 , 88.2 , T , (63.4+/-2.1)10^-8 , FSRQ , 3.2
115 , 0FGL J1509.5-5848 , PSR J1509-5850 , 227.38958 , -58.812 , 320 , -0.6 , 12.8 , F , < 4.610^-7 , Pulsar , 7.3
116 , 0FGL J1511.2-0536 , PKS 1508-05 , 227.81375 , -5.613 , 354.09 , 42.94 , 10.8 , F , (8.3+/-1.7)10^-8 , FSRQ , 15.1
117 , 0FGL J1512.7-0905 , PKS 1510-08 , 228.19583 , -9.093 , 351.28 , 40.15 , 45 , T , (48.8+/-2.3)10^-8 , FSRQ , 5.2
118 , 0FGL J1514.3-4946 , UNDEFINED , 228.585 , -49.769 , 325.25 , 6.8 , 11 , F , < 1.510^-7 , Unidentified , 7.2
119 , 0FGL J1517.9-2423 , CGRaBS J1517-2422 , 229.49583 , -24.395 , 340.72 , 27.51 , 12.3 , F , (48+/-6)10^-9 , BL Lac , 6.1
120 , 0FGL J1522.2+3143 , CGRaBS J1522+3144 , 230.55167 , 31.726 , 50.14 , 57.01 , 34.3 , T , (21.2+/-1.5)10^-8 , FSRQ , 5.2
121 , 0FGL J1536.7-4947 , UNDEFINED , 234.19667 , -49.798 , 328.26 , 4.76 , 10.7 , F , < 1.910^-7 , Unidentified , 7.7
122 , 0FGL J1543.1+6130 , CRATES J1542+6129 , 235.78375 , 61.504 , 95.38 , 45.37 , 10.5 , F , (3+/-1.4)10^-8 , BL Lac , 9.6
123 , 0FGL J1553.4+1255 , CRATES J1553+1256 , 238.36792 , 12.922 , 23.74 , 45.22 , 23.7 , T , (14.5+/-2.2)10^-8 , FSRQ , 6.3
124 , 0FGL J1555.8+1110 , CGRaBS J1555+1111 , 238.95083 , 11.181 , 21.9 , 43.94 , 31.5 , F , (8.7+/-2)10^-8 , BL Lac , 3.2
125 , 0FGL J1604.0-4904 , UNDEFINED , 241.01458 , -49.08 , 332.16 , 2.53 , 11.5 , F , < 2.410^-7 , Unidentified , 4.7
126 , 0FGL J1615.6-5049 , UNDEFINED , 243.91375 , -50.831 , 332.35 , -0.02 , 15.6 , F , (46.3+/-9.6)10^-8 , SNR/PWN see paper , 14
127 , 0FGL J1622.4-4945 , UNDEFINED , 245.61083 , -49.765 , 333.87 , -0.01 , 16 , F , (52.4+/-9)10^-8 , Unidentified , 10.7
128 , 0FGL J1625.8-2527 , CGRaBS J1625-2527 , 246.47 , -25.451 , 352.16 , 16.3 , 11.4 , F , (19.1+/-1.3)10^-8 , FSRQ , 9
129 , 0FGL J1625.9-2423 , CRATES J1627-2426 , 246.49375 , -24.393 , 353 , 16.99 , 10.1 , F , (101+/-9)10^-9 , Blazar uncertain type , 15.4
130 , 0FGL J1634.9-4737 , UNDEFINED , 248.73292 , -47.632 , 336.83 , -0.03 , 28.6 , F , (106+/-6.6)10^-8 , Unidentified , 4.8
131 , 0FGL J1635.2+3809 , CGRaBS J1635+3808 , 248.82083 , 38.158 , 61.11 , 42.33 , 27.3 , T , (16.7+/-1.3)10^-8 , FSRQ , 7
132 , 0FGL J1641.4+3939 , CLASS J1641+3935 , 250.355 , 39.666 , 63.23 , 41.24 , 17.7 , T , (12.2+/-1.4)10^-8 , FSRQ , 9.5
133 , 0FGL J1648.1-4606 , UNDEFINED , 252.02875 , -46.112 , 339.46 , -0.72 , 14.4 , F , (5.2+/-1)10^-7 , SNR/PWN see paper , 10.6
134 , 0FGL J1653.4-0200 , UNDEFINED , 253.355 , -2.014 , 16.54 , 24.96 , 10.9 , F , (5.6+/-1.6)10^-8 , Unidentified , 9.5
135 , 0FGL J1653.9+3946 , CGRaBS J1653+3945 , 253.49167 , 39.76697 , 63.6 , 38.84 , 19 , F , (27+/-8)10^-9 , BL Lac , 4.1
136 , 0FGL J1709.7-4428 , PSR J1709-4429 , 257.42667 , -44.475 , 343.1 , -2.69 , 85.8 , F , (115+/-5)10^-8 , Pulsar , 2.9
137 , 0FGL J1714.7-3827 , UNDEFINED , 258.68458 , -38.459 , 348.52 , 0.1 , 16 , F , (58.8+/-6)10^-8 , SNR/PWN see paper , 8
138 , 0FGL J1719.3+1746 , CGRaBS J1719+1745 , 259.82958 , 17.769 , 39.55 , 28.08 , 23.3 , T , (5.2+/-1.2)10^-8 , BL Lac , 4.6
139 , 0FGL J1732.8-3135 , LAT PSR J1732-31 , 263.21167 , -31.588 , 356.28 , 0.91 , 18.6 , F , (47.6+/-4.7)10^-8 , Pulsar , 5.2
140 , 0FGL J1741.4-3046 , UNDEFINED , 265.35583 , -30.773 , 357.95 , -0.2 , 11.5 , F , (24.7+/-5.4)10^-8 , Unidentified , 11.8
141 , 0FGL J1742.1-2054 , LAT PSR J1742-20 , 265.53958 , -20.916 , 6.43 , 4.85 , 16.4 , F , (22.7+/-3.1)10^-8 , Pulsar , 8.4
142 , 0FGL J1746.0-2900 , UNDEFINED , 266.50583 , -29.00497 , 359.98 , -0.12 , 36 , T , (117+/-5.2)10^-8 , Unidentified , 4.1
143 , 0FGL J1751.5+0935 , CGRaBS J1751+0939 , 267.89292 , 9.591 , 34.86 , 17.61 , 23.1 , T , (16.8+/-1.9)10^-8 , BL Lac , 5.7
144 , 0FGL J1801.6-2327 , UNDEFINED , 270.40375 , -23.459 , 6.53 , -0.32 , 20.1 , F , < 7.410^-7 , SNR/PWN see paper , 6.4
145 , 0FGL J1802.6-3939 , BZU J1802-3940 , 270.66083 , -39.66 , 352.45 , -8.42 , 25.2 , T , (193+/-7)10^-9 , Blazar uncertain type , 4.1
146 , 0FGL J1805.3-2138 , UNDEFINED , 271.32875 , -21.649 , 8.53 , -0.17 , 19.2 , F , (73.7+/-7.5)10^-8 , Unidentified , 11.2
147 , 0FGL J1802.2+7827 , CGRaBS J1800+7828 , 270.56667 , 78.466 , 110.02 , 28.99 , 12.6 , F , (5.5+/-1.3)10^-8 , BL Lac , 7.9
148 , 0FGL J1809.5-2331 , LAT PSR J1809-2332 , 272.39875 , -23.52 , 7.38 , -1.94 , 39.8 , F , (41.1+/-4)10^-8 , Pulsar , 3.7
149 , 0FGL J1813.5-1248 , UNDEFINED , 273.39875 , -12.801 , 17.23 , 2.38 , 24.5 , T , (53.7+/-6.5)10^-8 , Unidentified , 5.5
150 , 0FGL J1814.3-1739 , UNDEFINED , 273.58083 , -17.665 , 13.04 , -0.1 , 13.1 , F , (50+/-6.3)10^-8 , SNR/PWN see paper , 11.5
151 , 0FGL J1821.4-1444 , UNDEFINED , 275.36458 , -14.74 , 16.43 , -0.22 , 11 , F , (5.7+/-2.2)10^-7 , Unidentified , 10.4
152 , 0FGL J1825.9-1256 , LAT PSR J1826-1256 , 276.49667 , -12.942 , 18.53 , -0.35 , 30.9 , F , (95.2+/-8.5)10^-8 , Pulsar , 4.5
