_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
142 , "WMAP5 J0854+2006" , 133.70333 , 20.10833 , "206.81" , "35.82" , 0.306 , "Blazar B-type" , 2908 , 1512 , 3800 , 4400 , 4100 , 4200 , 3500 , 129.7992 , "PKS0851+202 "
143 , "WMAP5 J0902-1413" , 135.57 , -14.25861 , "242.25" , "20.72" , 1.333 , "Blazar Q-type" , 2022 , 2898 , 1200 , 1300 , 1200 , 1300 , "1166" , 142.1383 , "PKS0859-14 "
144 , "WMAP5 J0907-2020" , 136.97542 , -20.4475 , "248.29" , "17.96" , 0 , "Unidentified " , 417 , 413 , 1100 , 1000 , 700 , 1000 , "897" , 146.1156 , "PMNJ0907-2026 "
145 , "WMAP5 J0909+0119" , 137.29167 , 1.36 , "228.94" , "30.92" , 1.024 , "Blazar Q-type" , 888 , 760 , 2100 , 2000 , 1900 , 2000 , "1795" , 138.6551 , "4C01.24 "
146 , "WMAP5 J0909+4253" , 137.38917 , 42.89639 , "178.32" , "42.84" , 0.67 , "Misd. NT-AGN RGal-type" , 1561 , 4234 , 1000 , 1100 , 1200 , 900 , "807" , 125.9554 , "3C216 "
147 , "WMAP5 J0914+0248" , 138.65792 , 2.76639 , "228.35" , "32.81" , 0.427 , "Blazar Q-type" , 842 , 442 , 1400 , 1600 , 1400 , 800 , 1400 , 139.5163 , "PKS0912+029 "
148 , "WMAP5 J0918-1203" , 139.52375 , -12.09556 , "242.92" , "25.09" , 0.055 , "Misd. NT-AGN RGal-type" , 13982 , 40851 , 2000 , 1000 , 900 , 900 , "807" , 145.4539 , "HYDRAA "
149 , "WMAP5 J0920+4441" , 140.24333 , 44.69833 , "175.7" , "44.81" , 2.19 , "Blazar Q-type" , 1085 , 1017 , 1300 , 1400 , 1400 , 1400 , 600 , 127.3498 , "S40917+44 "
150 , "WMAP5 J0921-2619" , 140.3725 , -26.31194 , "255.07" , "16.47" , 2.3 , "Blazar Q-type" , 2333 , 1290 , 1500 , 1400 , 1300 , 1200 , 800 , 152.5923 , "PKS0919-260 "
151 , "WMAP5 J0921+6215" , 140.40083 , 62.26444 , "152.2" , "40.99" , 1.446 , "Blazar Q-type" , 1226 , 946 , 900 , 800 , 900 , 0 , "731" , 119.0992 , "S40917+62 "
152 , "WMAP5 J0927+3901" , 141.76208 , 39.03917 , "183.71" , "46.16" , 0.695 , "Blazar Q-type" , 6913 , 2885 , 6700 , 5800 , 5500 , 4400 , 2800 , 130.7264 , "4C39.25 "
153 , "WMAP5 J0948+4038" , 147.23042 , 40.6625 , "180.99" , "50.28" , 1.249 , "Blazar Q-type" , 1801 , 1600 , 1300 , 1500 , 1300 , 900 , 1000 , 134.3908 , "4C40.24 "
154 , "WMAP5 J0955+6935" , 148.96583 , 69.67917 , "141.41" , "40.56" , 0.001 , "Starburst galaxy" , 3796 , 6205 , 1300 , 1200 , 1000 , 900 , 1300 , 118.3442 , "M82 "
155 , "WMAP5 J0957+5527" , 149.40875 , 55.38278 , "158.59" , "47.92" , 0.896 , "Blazar Q-type" , 2015 , 3079 , 900 , 900 , 1000 , 800 , "718" , 128.7497 , "4C55.17 "
156 , "WMAP5 J0958+4722" , 149.58167 , 47.41889 , "170.05" , "50.73" , 1.882 , "Blazar Q-type" , 1005 , 604 , 1600 , 1400 , 1400 , 900 , "807" , 133.1498 , "S40955+476 "
157 , "WMAP5 J0959+6530" , 149.69583 , 65.56806 , "145.74" , "43.13" , 0.367 , "Blazar B-type" , 1125 , 730 , 900 , 900 , 700 , 800 , 800 , 122.2455 , " "
158 , "WMAP5 J1014+2306" , 153.69625 , 23.02111 , "210.7" , "54.43" , 0.565 , "Blazar Q-type" , 1093 , 1096 , 1100 , 900 , 700 , 700 , "628" , 146.4017 , "4C23.24 "
159 , "WMAP5 J1015-4511" , 153.71125 , -45.14444 , "276.1" , "9.41" , 0 , "Unidentified " , 780 , 0 , 1100 , 800 , 700 , 0 , "568" , 179.0424 , " "
160 , "WMAP5 J1017+3551" , 154.57333 , 35.84667 , "188.22" , "56.43" , 1.228 , "Blazar Q-type" , 107 , 278 , 900 , 900 , 800 , 600 , 900 , 142.131 , "B21015+35B "
161 , "WMAP5 J1018-3132" , 154.61958 , -31.39833 , "268.45" , "21.04" , 0.794 , "Blazar Q-type" , 688 , 379 , 900 , 900 , 700 , 600 , "538" , 170.0338 , "PKS1016-311 "
162 , "WMAP5 J1021+4003" , 155.54875 , 40.06667 , "180.45" , "56.64" , 0 , "Unidentified " , 52 , 0 , 900 , 900 , 900 , 0 , "731" , 141.0551 , " "
163 , "WMAP5 J1032+4118" , 158.26542 , 41.26833 , "177.39" , "58.36" , 1.117 , "Blazar Q-type" , 439 , 473 , 900 , 800 , 700 , 800 , 800 , 142.6278 , "S41030+415 "
164 , "WMAP5 J1037-2934" , 159.31667 , -29.5675 , "270.95" , "24.84" , 0.312 , "Blazar Unknown-type" , 1477 , 1113 , 1600 , 1600 , 1400 , 1600 , 1700 , 173.331 , "PKS1034-293 "
165 , "WMAP5 J1038+0510" , 159.695 , 5.20806 , "241.72" , "51.56" , 0.473 , "Blazar Q-type" , 704 , 640 , 1400 , 1500 , 1100 , 1100 , 900 , 158.5651 , "PKS1036+054 "
166 , "WMAP5 J1041+0611" , 160.32125 , 6.17139 , "241.11" , "52.65" , 1.27 , "Blazar Q-type" , 1518 , 1405 , 1200 , 1400 , 1200 , 1100 , "987" , 158.8376 , "4C06.41 "
