_id , fava_name,RA,Dec,LII, BII ,Flares , HE_Flares , Neg_Flares , LAT_Assoc , Assoc , Atel  , src,other_name
13 , J0209-51 , 32.42 , -51.19 , 276.61 , -61.76 , 10 , 5 , 0 , 2FGL_J0210.7-5102 , PKS_0208-512 , 0 , 17,
14 , J0212+10 , 33.18 , 10.1 , 153.57 , -47.88 , 5 , 5 , 0 , none , none , 0 , 77,
15 , J0215+01 , 33.84 , 1.77 , 161.23 , -54.74 , 1 , 1 , 0 , 2FGL_J0217.9+0143 , PKS_0215+015 , 0 , 80,
16 , J0219+35 , 34.79 , 35.73 , 142.28 , -23.83 , 1 , 1 , 0 , 2FGL_J0221.0+3555 , S4_0218+35 , 0 , 37,
17 , J0219-27 , 34.97 , -27.99 , 220.57 , -70.41 , 2 , 1 , 0 , none , none , 0 , 171,
18 , J0225+42 , 36.29 , 42.91997 , 140.63 , -16.71 , 4 , 3 , 0 , 2FGL_J0222.6+4302 , 3C_66A , 0 , 21,
19 , J0227-56 , 36.99 , -56.45 , 279.1 , -55.99 , 1 , 1 , 0 , none , none , 0 , 132,
20 , J0228-36 , 37.14 , -36.49 , 243.47 , -67.43 , 3 , 1 , 0 , 2FGL_J0229.3-3644 , PKS_0227-369 , 0 , 172,
21 , J0237+60 , 39.28 , 60.67 , 135.52 , 0.4 , 4 , 0 , 2 , 2FGL_J0240.5+6113 , LS_I+61_303 , 0 , 189,
22 , J0234-61 , 38.73 , -61.6 , 283.48 , -51.45 , 3 , 3 , 0 , 2FGL_J0237.1-6136 , PKS_0235-618 , 0 , 107,
23 , J0238+28 , 39.5 , 28.58 , 149.6 , -28.72 , 13 , 7 , 0 , 2FGL_J0237.8+2846 , 4C_+28.07 , 0 , 155,
24 , J0238+16 , 39.72 , 16.52 , 156.89 , -39.17 , 16 , 14 , 1 , 2FGL_J0238.7+1637 , AO_0235+164 , 0 , 6,
25 , J0246-46 , 41.7 , -46.67 , 261.36 , -60.08 , 3 , 2 , 0 , 2FGL_J0245.9-4652 , PKS_0244-470 , 0 , 84,
26 , J0251-22 , 42.88 , -22.6 , 210.14 , -62.46 , 7 , 4 , 0 , 2FGL_J0252.7-2218 , PKS_0250-225 , 0 , 40,
27 , J0302-24 , 45.65 , -24.46 , 215.2 , -60.44 , 3 , 3 , 0 , 2FGL_J0303.4-2407 , PKS_0301-243 , 0 , 102,
28 , J0308+10 , 47.18 , 10.4 , 169.17 , -39.84 , 6 , 4 , 0 , 2FGL_J0309.1+1027 , PKS_0306+102 , 0 , 136,
29 , J0312+01 , 48.14 , 1.35 , 178.68 , -45.7 , 1 , 0 , 0 , 2FGL_J0312.6+0132 , PKS_0310+013 , 0 , 194,
30 , J0320+41 , 50.15 , 41.63 , 150.63 , -13.08 , 3 , 3 , 0 , 2FGL_J0319.8+4130 , NGC_1275 , 0 , 112,
31 , J0329+22 , 52.48 , 22.39 , 164.54 , -27.4 , 1 , 0 , 0 , 2FGL_J0326.1+2226 , TXS_0322+222 , 0 , 198,
32 , J0333+32 , 53.44 , 32.52 , 158.37 , -18.96 , 1 , 0 , 0 , none , none , 0 , 205,
33 , J0333-40 , 53.43 , -40.37 , 245.17 , -54.14 , 1 , 1 , 0 , 2FGL_J0334.2-4008 , PKS_0332-403 , 0 , 119,
34 , J0341-02 , 55.26 , -2.43 , 189.02 , -42.53 , 1 , 0 , 0 , 2FGL_J0339.4-0144 , PKS_0336-01 , 0 , 207,
35 , J0342-25 , 55.7 , -25.2 , 220 , -51.69 , 1 , 1 , 0 , none , none , 0 , 173,
36 , J0350+79 , 57.74 , 79.93997 , 130.45 , 19.8 , 1 , 1 , 0 , 2FGL_J0354.1+8010 , S5_0346+80 , 0 , 32,
37 , J0351-21 , 57.75 , -21.06 , 214.52 , -48.79 , 1 , 0 , 0 , 2FGL_J0350.0-2104 , PKS_0347-211 , 0 , 187,
38 , J0402-36 , 60.65 , -36.21 , 237.92 , -48.75 , 14 , 7 , 1 , 2FGL_J0403.9-3604 , PKS_0402-362 , 0 , 82,
39 , J0422-01 , 65.66 , -1.49 , 195.34 , -33.35 , 1 , 1 , 0 , 2FGL_J0423.2-0120 , PKS_0420-01 , 0 , 81,
40 , J0428-38 , 67.02 , -38.05 , 240.85 , -43.75 , 30 , 11 , 7 , 2FGL_J0428.6-3756 , PKS_0426-380 , 0 , 76,
41 , J0427-60 , 66.94 , -60.37 , 270.95 , -40.89 , 1 , 1 , 0 , 2FGL_J0433.4-6029 , PKS_0432-606 , 0 , 85,
42 , J0441-00 , 70.45 , -0.74 , 197.5 , -28.88 , 4 , 2 , 0 , 2FGL_J0442.7-0017 , PKS_0440-00 , 0 , 48,
43 , J0448+11 , 72.07 , 11.11 , 187.51 , -21.05 , 2 , 2 , 0 , 2FGL_J0448.9+1121 , PKS_0446+11 , 0 , 91,
44 , J0456-23 , 74.06 , -23.56 , 223.8 , -35.12 , 34 , 11 , 14 , 2FGL_J0457.0-2325 , PKS_0454-234 , 0 , 28,
45 , J0503-01 , 75.92 , -1.77 , 201.57 , -24.66 , 2 , 1 , 0 , 2FGL_J0501.2-0155 , PKS_0458-02 , 4396 , 177,
46 , J0504+04 , 76.12 , 4.69 , 195.63 , -21.22 , 5 , 4 , 0 , 2FGL_J0505.5+0501 , PKS_0502+049 , 0 , 151,
47 , J0517+45 , 79.32 , 45.49 , 163.06 , 4.35 , 2 , 1 , 0 , 2FGL_J0517.0+4532 , 4C_+45.08 , 0 , 61,
48 , J0520-36 , 80.08 , -36.43 , 240.44 , -33.24 , 3 , 1 , 0 , 2FGL_J0523.0-3628 , PKS_0521-36 , 0 , 111,
49 , J0525+16 , 81.29958 , 16.01 , 188.47 , -10.88 , 1 , 0 , 0 , none , none , 0 , 214,
50 , J0532+21 , 83.23 , 21.6 , 184.7 , -6.33 , 3 , 1 , 0 , 2FGL_J0534.5+2201 , PSR_J0534+2200 , 0 , 143,
51 , J0533+07 , 83.25958 , 7.23 , 197.17 , -13.82 , 4 , 3 , 0 , 2FGL_J0532.7+0733 , OG_050 , 0 , 159,
52 , J0532-48 , 83.24 , -48.41 , 254.98 , -32.65 , 9 , 7 , 0 , 2FGL_J0532.0-4826 , PMN_J0531-4827 , 0 , 123,
53 , J0536-44 , 84.07 , -44.26 , 250.2 , -31.58 , 16 , 10 , 1 , 2FGL_J0538.8-4405 , PKS_0537-441 , 0 , 93,
54 , J0537+13 , 84.5 , 13.97 , 191.89 , -9.32 , 5 , 2 , 0 , Fermi_J0539+1432 , TXS_0536+145 , 3999 , 164,
55 , J0537-54 , 84.37 , -54.96 , 262.78 , -32.38 , 1 , 1 , 0 , 2FGL_J0540.4-5415 , PKS_0539-543 , 0 , 110,
56 , J0539-34 , 84.89 , -34.21 , 238.95 , -28.92 , 1 , 0 , 0 , 2FGL_J0536.2-3348 , 1RXS_J053629.4-33430 , 0 , 192,
57 , J0604-70 , 91.08 , -70.28 , 280.65 , -29.38 , 1 , 1 , 0 , 2FGL_J0601.1-7037 , PKS_0601-70 , 0 , 71,
58 , J0622+33 , 95.65 , 33.63 , 179.73 , 9.18 , 16 , 13 , 0 , 2FGL_J0622.9+3326 , B2_0619+33 , 0 , 115,
59 , J0628-20 , 97.18958 , -20.18 , 228.75 , -13.88 , 3 , 3 , 0 , 2FGL_J0629.3-2001 , PKS_0627-199 , 0 , 153,
60 , J0640+05 , 100.11 , 5.78 , 206.53 , 0.19 , 1 , 1 , 0 , Fermi_J0639+0548 , Nova_Mon_2012 , 4224 , 178,
61 , J0646-30 , 101.75 , -30.2 , 239.91 , -14.14 , 1 , 0 , 0 , Fermi_J0648-3044 , PKS_0646-306 , 3878 , 212,
62 , J0652+45 , 103.04 , 45.07 , 171.23 , 18.95 , 4 , 3 , 0 , 2FGL_J0654.2+4514 , B3_0650+453 , 0 , 19,
63 , J0703-46 , 105.88 , -46.74 , 257.09 , -17.46 , 1 , 1 , 0 , 2FGL_J0701.7-4630 , PKS_0700-465 , 0 , 166,
64 , J0712+19 , 108.05 , 19.5 , 197.55 , 13.18 , 2 , 2 , 0 , 2FGL_J0714.0+1933 , MG2_J071354+1934 , 0 , 41,
65 , J0717+71 , 109.46 , 71.14 , 144.19 , 27.68 , 14 , 8 , 3 , 2FGL_J0721.9+7120 , S5_0716+71 , 0 , 72,
66 , J0720+33 , 110.14 , 33.08 , 185.17 , 20.08 , 4 , 3 , 0 , 2FGL_J0719.3+3306 , B2_0716+33 , 0 , 90,
67 , J0724+14 , 111.15 , 14.14 , 203.83 , 13.64 , 10 , 8 , 1 , 2FGL_J0725.3+1426 , 4C_+14.23 , 0 , 68,
68 , J0728-11 , 112.23958 , -11.71 , 227.62 , 2.83 , 4 , 0 , 0 , 2FGL_J0730.2-1141 , PKS_0727-11 , 0 , 188,
69 , J0730+36 , 112.62 , 36.98 , 181.9 , 23.25 , 1 , 1 , 0 , none , none , 0 , 95,
70 , J0740+54 , 115.18 , 54.96 , 162.75 , 28.84 , 11 , 5 , 0 , 2FGL_J0742.6+5442 , GB6_J0742+5444 , 0 , 137,
