_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
360 , "5BZUJ0217-0820 " , "PKS 0214-085 " , 34.26108 , -8.34789 , "174.07" , "-62.38" , "0.607 " , 18.3 , "Blazar Uncertain type" , 418 , 424 , 0.68 , ". " , " " , " " , 4e-10 , 0.638
361 , "5BZBJ0217+0837 " , "PLCKERC217G156.1" , 34.32137 , 8.61778 , "156.12" , "-48.65" , "0 " , 17.4 , "BL Lac" , 315 , 387 , 0.71 , ". " , " " , " " , 1.6e-9 , 0.587
362 , "5BZQJ0217+7349 " , "0212+73 " , 34.37837 , 73.82572 , "128.92" , "11.96" , "2.367 " , 18.9 , "QSO RLoud flat radio sp." , 2272 , 1050 , 0.54 , ". " , " " , " " , 7e-10 , 0.774
363 , "5BZQJ0217-7251 " , "CRATESJ021725-72" , 34.39875 , -72.85775 , "294.44" , "-42.83" , "0.293 " , 16.6 , "QSO RLoud flat radio sp." , 150 , 0 , 0 , ". " , " " , " " , 0 , 0.45
364 , "5BZQJ0217-7347 " , "MC4 0217-740 " , 34.43796 , -73.78978 , "294.99" , "-41.99" , "1.234 " , 19.5 , "QSO RLoud flat radio sp." , 189 , 0 , 0.26 , ". " , " " , " " , 0 , 0.71
365 , "5BZQJ0217+0144 " , "PKS 0215+015 " , 34.45396 , 1.74714 , "162.13" , "-54.42" , "1.715 " , 16.2 , "QSO RLoud flat radio sp." , 751 , 1546 , 0.56 , ". " , " " , " " , 5.7e-9 , 0.59
366 , "5BZQJ0218-0923 " , "TEX0216-096 " , 34.64321 , -9.394 , "176.27" , "-62.85" , "1.447 " , 18.4 , "QSO RLoud flat radio sp." , 156 , 0 , 0 , ". " , " " , " " , 0 , 0.609
367 , "5BZBJ0219-1725 " , "1RXSJ021905.8-17" , 34.77292 , -17.42031 , "191.85" , "-67.57" , "0.128 " , 17.1 , "BL Lac" , 62 , 0 , 0.73 , ". " , " " , " " , 4e-10 , 0.5
368 , "5BZQJ0219+0120 " , "PKS 0216+011 " , 34.77925 , 1.34997 , "162.98" , "-54.56" , "1.623 " , 19.1 , "QSO RLoud flat radio sp." , 478 , 0 , 0 , ". " , " " , " " , 0 , 0.776
369 , "5BZBJ0219-1842 " , "PKS 0217-189 " , 34.83817 , -18.71075 , "194.95" , "-68.12" , "0 " , 19.4 , "BL Lac" , 302 , 0 , 0 , ". " , " " , " " , 0 , 0.789
370 , "5BZQJ0220-1305 " , "PKS0217-133 " , 35.11758 , -13.08864 , "183.33" , "-64.9" , "1.445 " , 16.1 , "QSO RLoud flat radio sp." , 357 , 0 , 0 , ". " , " " , " " , 0 , 0.512
371 , "5BZQJ0220-2151 " , "PKS 0218-220 " , 35.14646 , -21.85336 , "203.2" , "-69.08" , "2.552 " , 18.6 , "QSO RLoud flat radio sp." , 137 , 0 , 0 , ". " , " " , " " , 0 , 0.619
372 , "5BZBJ0220-0842 " , "SDSSJ02208-0842 " , 35.20192 , -8.714 , "176.03" , "-61.98" , "0.525 " , 18.3 , "BL Lac" , 66 , 0 , 0.89 , ". " , " " , " " , 0 , 0.499
373 , "5BZUJ0220+2509 " , "B2.2 0217+24 " , 35.2135 , 25.15767 , "147.29" , "-33.45" , "0.482 " , 18.8 , "Blazar Uncertain type" , 146 , 0 , 0 , ". " , " " , " " , 4e-10 , 0.511
