_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1387 , "BZQJ1106+2812 " , 166.53025 , 28.21308 , "204.11" , "66.7" , "0.844 " , 19.5 , "QSO RLoud flat radio sp." , 225 , 338.7 , 0.34 , ". " , ". " , ". " , 8.31e-10 , 2.23 , 0.762 , "CRATESJ110606+28"
1388 , "BZBJ1107+5010 " , 166.76992 , 50.17719 , "156.69" , "59.55" , "0.706? " , 19.5 , "BL Lac" , 37 , 0 , 0 , "? " , ". " , ". " , 0 , 0 , 0.526 , "5C2.156 "
1389 , "BZQJ1107+7232 " , 166.92383 , 72.54333 , "133.17" , "42.46" , "2.1 " , 18.4 , "QSO RLoud flat radio sp." , 370 , 0 , 0.09 , ". " , ". " , ". " , 0 , 0 , 0.689 , "1104+72W1 "
1390 , "BZQJ1107-4449 " , 166.78621 , -44.81878 , "284.17" , "14.21" , "1.598 " , 16.8 , "QSO RLoud flat radio sp." , 2595 , 1248.9 , 0.73 , ". " , ". " , "s " , 7.36e-10 , 2.67 , 0.684 , "PKS1104-445 "
1391 , "BZBJ1107+0222 " , 166.89962 , 2.37347 , "253.37" , "54.92" , "0 " , 18.6 , "BL Lac" , 21 , 0 , 0 , ". " , ". " , ". " , 4.88e-10 , 2.11 , 0.49 , "2FGLJ1107.5+0223"
1392 , "BZBJ1107+1502 " , 166.95025 , 15.03628 , "234.31" , "63.05" , "0 " , 18.3 , "BL Lac" , 43 , 0 , 4.26 , ". " , ". " , ". " , 6.3e-10 , 1.86 , 0.475 , "1RXS J110748.2+1"
1393 , "BZQJ1107-3043 " , 166.93321 , -30.72689 , "277.96" , "27.06" , "0.74 " , 19.6 , "QSO RLoud flat radio sp." , 351 , 0 , 0.5 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS1105-304 "
1394 , "BZQJ1108+4330 " , 167.09783 , 43.51492 , "167.95" , "63.53" , "1.226 " , 20 , "QSO RLoud flat radio sp." , 300 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.808 , "GB6B1105+4347 "
1395 , "BZQJ1108+0811 " , 167.15625 , 8.18378 , "246.04" , "59.16" , "1.123 " , 21 , "QSO RLoud flat radio sp." , 115 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.82 , "BZQJ1108+0811 "
1396 , "BZBJ1108+2615 " , 167.1865 , 26.25908 , "209.22" , "67.08" , "0 " , 19.5 , "BL Lac" , 44 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.605 , "SDSSJ110844.76+2"
1397 , "BZUJ1108+0202 " , 167.18954 , 2.04469 , "254.13" , "54.87" , "0.157 " , 15.9 , "Blazar Uncertain type" , 774 , 0 , 0.49 , ". " , "g " , ". " , 0 , 0 , 0.523 , "PKS1106+023 "
1398 , "BZBJ1108-0149 " , 167.24342 , -1.82553 , "258.4" , "51.95" , "0.106 " , 15.4 , "BL Lac Candidate" , 82 , 0 , 1.6 , ". " , "g " , ". " , 0 , 0 , 0.317 , "1RXS J110858.0-0"
1399 , "BZBJ1109+2411 " , 167.31725 , 24.18878 , "214.48" , "66.82" , "0 " , 17.4 , "BL Lac" , 34 , 0 , 0 , ". " , ". " , ". " , 3.11e-10 , 1.71 , 0.37 , "1ES1106+244 "
1400 , "BZBJ1110+7133 " , 167.65663 , 71.56572 , "133.61" , "43.41" , "0 " , 17.7 , "BL Lac" , 54 , 0 , 0.91 , ". " , ". " , ". " , 2.71e-10 , 2.1 , 0.394 , "1RXS J111037.1+7"
1401 , "BZQJ1110+4403 " , 167.69312 , 44.05719 , "166.41" , "63.63" , "1.693 " , 19 , "QSO RLoud flat radio sp." , 293 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.724 , "B31107+443 "
1402 , "BZUJ1110-1835 " , 167.61538 , -18.59756 , "272" , "38.13" , "0 " , 19.2 , "Blazar Uncertain type" , 47 , 0 , 0.06 , ". " , ". " , ". " , 6.67e-10 , 1.96 , 0.57 , "2FGLJ1110.1-1835"
1403 , "BZBJ1110+3539 " , 167.73683 , 35.652 , "184.95" , "67" , "0 " , 18.3 , "BL Lac Candidate" , 5 , 0 , 0.35 , ". " , ". " , ". " , 0 , 0 , 0.262 , "SDSSJ111056.83+3"
