_id , 1whsp_name , other_name , BZcat_name , RA , Dec , WISE magnitudes , WISE mag2 , WISE mag3 , NVSS/FIRSTflux density , Redshift , Log(νpeak) , Log(peak flux) , γ-ray counterpart , Blazar type , Fermi γ-ray slope , TEV FOM, LII, BII
585 , "1WHSP J132541.88-022809" , "1RXSJ132542.1-022800" , "5BZBJ1325-0228 " , 201.42454 , -2.46944 , 0 , 14.9 , 0 , 9.1 , "0.8?" , 17 , -12.1 , " -- " , "Known blazar " , " -- " , 0.16 , "319.86" , "59.26"
586 , "1WHSP J132612.55+215338" , "PGC1659405 " , " -- " , 201.55233 , 21.89411 , 0 , 14 , 0 , 12.2 , 0.273 , 15.7 , -12.2 , " -- " , "New blazar" , " -- " , 0.13 , "1.29" , "80.51"
587 , "1WHSP J132614.98+293330" , "RXJ13262+2933 " , "5BZBJ1326+2933 " , 201.56242 , 29.55856 , 0 , 13.7 , 0 , 16.5 , 0.431 , 16.3 , -11.5 , "3FGL J1326.1+2931 " , "Known blazar " , "2.1+/-0.25" , 0.63 , "52.56" , "81.96"
588 , "1WHSP J132617.7+122958" , "1RXSJ132617.7+123004" , "5BZGJ1326+1229 " , 201.57375 , 12.49967 , 0 , 13.2 , 0 , 58.3 , 0.204 , 16.8 , -11.9 , " -- " , "Known blazar " , " -- " , 0.25 , "333.8" , "73.24"
589 , "1WHSP J132744.98-082936" , " - " , " -- " , 201.93742 , -8.49361 , 0 , 14.8 , 0 , 16.6 , 0 , 16.2 , -12.4 , " -- " , "Candidate blazar" , " -- " , 0.08 , "318.07" , "53.3"
590 , "1WHSP J132813.32+524410" , " - " , " -- " , 202.0555 , 52.73636 , 0 , 14.9 , 0 , 4.8 , 0 , 16.9 , -12.5 , " -- " , "Candidate blazar" , " -- " , 0.06 , "110.41" , "63.49"
591 , "1WHSP J132845.82+720402" , " - " , " -- " , 202.19092 , 72.06744 , 0 , 14.1 , 0 , 8.1 , 0 , 15.6 , -12.3 , " -- " , "Candidate blazar" , " -- " , 0.1 , "118.89" , "44.76"
592 , "1WHSP J133021.53+444120" , "BZBJ1330+4441 " , "5BZBJ1330+4441 " , 202.58971 , 44.68897 , 0 , 13.3 , 0 , 21.2 , 0 , 15.5 , -12.1 , "3FGL J1330.0+4437 " , "Known blazar " , "2+/-0.14" , 0.16 , "101.51" , "70.78"
593 , "1WHSP J133025.8+700138" , "1RXSJ133027.8+700143" , "5BZBJ1330+7001 " , 202.60754 , 70.02742 , 0 , 13.1 , 0 , 21.2 , 0 , 15.4 , -12 , "3FGL J1330.6+7002 " , "Known blazar " , "1.8+/-0.12" , 0.2 , "118.09" , "46.73"
594 , "1WHSP J133040.68+565520" , "SDSSJ133040.69+56552" , "5BZBJ1330+5655 " , 202.6695 , 56.92228 , 0 , 14.4 , 0 , 17.3 , " > 0.7" , 15.2 , -12.5 , " -- " , "Known blazar " , " -- " , 0.06 , "112.4" , "59.39"
595 , "1WHSP J133046.02+113940" , " - " , " -- " , 202.69175 , 11.66133 , 0 , 15 , 0 , 1.4 , 0.53 , "17.6?" , "-12.7?" , " -- " , "New blazar" , " -- " , 0.04 , "335.66" , "71.98"
596 , "1WHSP J133529.75-295038" , "1WGAJ1335.4-2950 " , "5BZBJ1335-2950 " , 203.874 , -29.84414 , 0 , 14.3 , 0 , 10.8 , "0.51?" , 16.3 , -11.7 , "3FGL J1335.4-2949 " , "Known blazar " , "2+/-0.14" , 0.4 , "314.2" , "32.05"
597 , "1WHSP J133600.05-033129" , "TGN139Z335 " , " -- " , 204.00021 , -3.52492 , 0 , 12.8 , 0 , 5.3 , 0.176 , 16.6 , -12.2 , " -- " , "New blazar" , " -- " , 0.13 , "323.97" , "57.51"
