_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
16 , "J0105.5-1415 " , 16.37792 , -14.257 , "137.93" , "-76.72" , "(11.3+/-1.7)x10-12" , "Sy1 " , 0.067 , " -- "
17 , "J0108.8+1321 " , 17.20167 , 13.352 , "129.41" , "-49.3" , "(16.7+/-1.7)x10-12" , "Sy2 " , 0.06 , " -- "
18 , "J0111.5-3805 " , 17.88 , -38.094 , "283.15" , "-78.26" , "(14.7+/-1.5)x10-12" , "Sy2 " , 0.012 , " -- "
19 , "J0113.9-1450 " , 18.49167 , -14.849 , "147.18" , "-76.65" , "(12.9+/-1.7)x10-12" , "Sy1 " , 0.052 , " -- "
20 , "J0114.4-3235 " , 18.6 , -32.6 , "262.02" , "-82.61" , "(8.3+/-1.6)x10-12" , "Sy2 " , 0.012 , " -- "
21 , "J0114.4-5522 " , 18.6 , -55.378 , "296.1" , "-61.45" , "(8.4+/-1.3)x10-12" , "Sy2 " , 0.012 , " -- "
22 , "J0123.0+3421 " , 20.75083 , 34.351 , "130.31" , "-28.07" , "(10.4+/-1.7)x10-12" , "BLAZAR" , 0.272 , "BZB (BL Lac)"
23 , "J0124.4+3346 " , 21.10292 , 33.777 , "130.73" , "-28.6" , "(11+/-1.6)x10-12" , "Sy2 " , 0.02 , " -- "
24 , "J0123.8-3503 " , 20.96875 , -35.06 , "263.75" , "-79.47" , "(30+/-1.5)x10-12" , "Sy1.5 " , 0.019 , " -- "
25 , "J0123.8-5847 " , 20.95375 , -58.798 , "295.05" , "-57.84" , "(26.9+/-1.3)x10-12" , "Sy1 " , 0.047 , " -- "
26 , "J0127.9-1850 " , 21.98167 , -18.838 , "170.17" , "-78.21" , "(12.6+/-1.6)x10-12" , "Sy1 " , 0.043 , " -- "
27 , "J0128.4+1630 " , 22.1 , 16.5 , "135.61" , "-45.46" , "(9.2+/-1.7)x10-12" , "GiP " , 0.039 , " -- "
28 , "J0134.0-3628 " , 23.50792 , -36.482 , "261.58" , "-77.01" , "(23.2+/-1.5)x10-12" , "RG " , 0.03 , " -- "
29 , "J0134.8-0430 " , 23.7 , -4.5 , "149.39" , "-65.12" , "(9.4+/-1.7)x10-12" , "Sy1 " , 0.079 , " -- "
30 , "J0138.6-3959 " , 24.66167 , -39.996 , "268.67" , "-73.84" , "(30+/-1.4)x10-12" , "Sy2 " , 0.025 , " -- "
31 , "J0140.4-5317 " , 25.1 , -53.3 , "287.11" , "-62.31" , "(7+/-1.3)x10-12" , "AGN " , 0.072 , " -- "
32 , "J0142.7+0118 " , 25.7 , 1.3 , "148.48" , "-59" , "(9.1+/-1.7)x10-12" , "Sy1 " , 0.05 , " -- "
33 , "J0151.8-3607 " , 27.96792 , -36.133 , "251.72" , "-74.34" , "(7.9+/-1.5)x10-12" , "Sy1 " , 0.033 , " -- "
34 , "J0153.1-0327 " , 28.29667 , -3.451 , "157.52" , "-62.1" , "(13.3+/-1.7)x10-12" , "Sy2 " , 0.017 , " -- "
35 , "J0155.1-2705 " , 28.79875 , -27.099 , "216.45" , "-75.83" , "(9.9+/-1.5)x10-12" , "QSO " , 0.151 , " -- "
36 , "J0201.4-0649 " , 30.35583 , -6.825 , "165.4" , "-63.77" , "(38.6+/-1.7)x10-12" , "Sy2 " , 0.014 , " -- "
37 , "J0203.4-2400 " , 30.85167 , -24 , "206.01" , "-73.49" , "(8.7+/-1.5)x10-12" , "Sy1 " , 0.178 , " -- "
38 , "J0206.6-0017 " , 31.66667 , -0.296 , "159.98" , "-57.66" , "(15.2+/-1.7)x10-12" , "Sy1.5 " , 0.042 , " -- "
39 , "J0207.3+2930 " , 31.82875 , 29.504 , "142.1" , "-30.53" , "(12.9+/-1.7)x10-12" , "BLAZAR" , 0.11 , " -- "
40 , "J0209.9+5227 " , 32.49167 , 52.455 , "134.88" , "-8.59" , "(30.3+/-1.6)x10-12" , "Sy1 " , 0.049 , " -- "
41 , "J0215.2-0044 " , 33.8 , -0.749 , "163.71" , "-56.84" , "(10.1+/-1.7)x10-12" , "Sy1.2 " , 0.026 , " -- "
42 , "J0216.4+5125 " , 34.10167 , 51.424 , "136.16" , "-9.25" , "(9+/-1.6)x10-12" , "Sy2 " , 0.029 , " -- "
43 , "J0217.8+7348 " , 34.47083 , 73.816 , "128.95" , "11.96" , "(15.3+/-1.5)x10-12" , "BLAZAR" , 2.36 , "BZQ (FSRQ)"
44 , "J0215.2-6430 " , 33.8 , -64.5 , "288.99" , "-50.31" , "(7+/-1.3)x10-12" , "Sy1 " , 0.074 , " -- "
45 , "J0225.3+1848 " , 36.33167 , 18.802 , "151.84" , "-38.75" , "(14.6+/-1.7)x10-12" , "BLAZAR" , 2.6 , "BZQ (FSRQ)"
46 , "J0225.8-6314 " , 36.47167 , -63.242 , "286.37" , "-50.75" , "(8.2+/-1.3)x10-12" , "Sy1 " , 0.058 , " -- "
47 , "J0227.0-2820 " , 36.75083 , -28.348 , "221.8" , "-68.86" , "(8.3+/-1.5)x10-12" , "Sy1 " , 0.06 , " -- "
48 , "J0228.5+3119 " , 37.14292 , 31.32 , "146.18" , "-27.13" , "(38.5+/-1.8)x10-12" , "Sy1.5 " , 0.017 , " -- "
49 , "J0232.3-3639 " , 38.07792 , -36.659 , "243.31" , "-66.66" , "(9.2+/-1.4)x10-12" , "Sy2 " , 0.017 , " -- "
50 , "J0233.1+2017 " , 38.27875 , 20.3 , "153.01" , "-36.57" , "(16.6+/-1.8)x10-12" , "BLAZAR" , 0.14 , "BZB (BL Lac)"
51 , "J0233.4+2754 " , 38.35292 , 27.9 , "148.92" , "-29.78" , "(10.3+/-1.8)x10-12" , "Sy1 " , 0.038 , " -- "
52 , "J0234.6+3229 " , 38.66583 , 32.492 , "146.94" , "-25.53" , "(16.4+/-1.8)x10-12" , "Sy2 " , 0.017 , " -- "
53 , "J0235.0-0845 " , 38.76 , -8.764 , "180.92" , "-59.4" , "(20.7+/-1.6)x10-12" , "Sy1 " , 0.043 , " -- "
54 , "J0235.6-2938 " , 38.9 , -29.648 , "225.37" , "-67.01" , "(7.8+/-1.4)x10-12" , "Sy1.9 " , 0.059 , "BZB (BL Lac)"
55 , "J0238.4-5214 " , 39.62375 , -52.237 , "271.66" , "-57.91" , "(14.4+/-1.3)x10-12" , "Sy1 " , 0.045 , " -- "
56 , "J0239.2-4042 " , 39.80292 , -40.701 , "251.32" , "-64.01" , "(9.5+/-1.4)x10-12" , "Sy1 " , 0.061 , " -- "
57 , "J0241.5-0814 " , 40.39667 , -8.249 , "182.15" , "-57.83" , "(13.6+/-1.6)x10-12" , "Sy2 " , 0.005 , " -- "
58 , "J0243.0-0000 " , 40.75792 , -0.01 , "172.2" , "-51.88" , "(20.4+/-1.7)x10-12" , "Sy2 " , 0.004 , " -- "
