_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1088 , "PBC J1911.2+0035" , 287.80542 , 0.57447 , "35.7" , "-4.14" , "(148.9+/-3.8)x10-12" , "LXB " , 0 , " -- " , "Aql X-1 "
1089 , "PBC J1911.4+1412" , 287.86083 , 14.20842 , "47.83" , "2.1" , "(13.6+/-8.4)x10-12" , " " , 0 , " -- " , "PBC J1911.4+14"
1090 , "PBC J1911.8+0459" , 287.96208 , 4.98883 , "39.7" , "-2.25" , "(124.4+/-3)x10-12" , "HXB " , 0 , " -- " , "SS 433 "
1091 , "PBC J1909.8+6732" , 287.47417 , 67.53614 , "98.45" , "23.2" , "(7.2+/-4.8)x10-12" , " " , 0 , " -- " , "PBC J1909.8+67"
1092 , "PBC J1914.0+0951" , 288.53042 , 9.86736 , "44.28" , "-0.49" , "(144.1+/-3.1)x10-12" , "HXB " , 0 , " -- " , "IGR J19140+095"
1093 , "PBC J1914.8+1026" , 288.71417 , 10.44672 , "44.88" , "-0.38" , "(26.6+/-5.7)x10-12" , " " , 0 , " -- " , "PBC J1914.8+10"
1094 , "PBC J1915.1+1056" , 288.7975 , 10.93708 , "45.35" , "-0.23" , "(3872+/-3)x10-12" , "LXB " , 0 , " -- " , "GRS 1915+105 "
1095 , "PBC J1918.7-0513" , 289.69375 , -5.22706 , "31.36" , "-8.46" , "(161+/-3.3)x10-12" , "LXB " , 0 , " -- " , "4U 1916-053 "
1096 , "PBC J1919.4-2958" , 289.8675 , -29.97394 , "8.17" , "-18.78" , "(9+/-5.2)x10-12" , "X " , 0.167 , " -- " , "1RXS J191928.5"
1097 , "PBC J1921.3-5842" , 290.33583 , -58.70589 , "338.14" , "-26.74" , "(43.9+/-4.8)x10-12" , "Sy1 " , 0.037 , " -- " , "ESO 141-55 "
1098 , "PBC J1919.2+4411" , 289.82167 , 44.19744 , "75.77" , "13.91" , "(7.8+/-4.4)x10-12" , " " , 0 , " -- " , "PBC J1919.2+44"
