_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
63 , "PCCS1 070 G152.53-47.35 "  ,, 32.78375 , 10.895 , 152.52699 , -47.345 , "1338.5+/-191" , "1098.5+/-307.9" , "1121.7+/-119.7" , "800.5+/-136" , 1.4 , "No" , 0 , 2 , " " , "12.8+/-2.2" , "9.5+/-1.6" , "70.1+/-22.4" , 11
64 , "PCCS1 070 G190.49-69.13 "  ,, 33.08875 , -17.75944 , 190.492 , -69.12801 , "744.9+/-170.5" , "607.6+/-284.8" , "523.7+/-110.4" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
65 , "PCCS1 070 G173.82-63.27 "  ,, 33.54375 , -8.89944 , 173.815 , -63.27 , "792+/-182" , "564.5+/-236.6" , "309+/-108.3" , "385.8+/-125.8" , 1.4 , "No" , 0 , 0 , " " , "11.8+/-3.9" , "8.6+/-2.8" , "63.3+/-41.5" , 10.1
66 , "PCCS1 070 G174.15-62.35 "  ,, 34.30333 , -8.35417 , 174.153 , -62.355 , "673.5+/-167" , "622.1+/-266.7" , "697.2+/-104.9" , "1515.8+/-284.5" , 1.4 , "Yes" , 0 , 2 , " " , "24.6+/-4.8" , "22.1+/-4.3" , "106.4+/-69.5" , 23.3
67 , "PCCS1 070 G128.92+11.97 "  ,, 34.35125 , 73.83444 , 128.91701 , 11.97 , "1772.8+/-151.7" , "1755.7+/-184.9" , "1735.7+/-90.9" , "2032.2+/-127.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G128.91+11.97" , "18.4+/-1.2" , "12.4+/-0.8" , "29.1+/-6.3" , 15.1
68 , "PCCS1 070 G162.14-54.43 "  ,, 34.44208 , 1.72861 , 162.14101 , -54.435 , "1968.6+/-162.1" , "1457.2+/-304.7" , "1618.2+/-132" , "3102.7+/-266.8" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G162.14-54.41" , "26.3+/-2.3" , "15.6+/-1.4" , "173.7+/-6.5" , 20.3
69 , "PCCS1 070 G289.24-49.44 "  ,, 34.49958 , -65.32389 , 289.23599 , -49.439 , "446.5+/-109.9" , "416.6+/-184.1" , "300.8+/-69.3" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
70 , "PCCS1 070 G142.59-23.52 "  ,, 35.2425 , 35.91417 , 142.586 , -23.517 , "808.9+/-168.7" , "1091+/-285.7" , "282.7+/-108.6" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
71 , "PCCS1 070 G203.78-68.66 "  ,, 35.64542 , -21.91194 , 203.778 , -68.657 , "686+/-163.8" , "346+/-217.9" , "332.1+/-102.6" , "57.8+/-105.7" , 1.4 , "No" , 0 , 0 , " " , "9.9+/-18.1" , "7.6+/-14" , "43.6+/-108.2" , 8.7
72 , "PCCS1 070 G150.99-38.64 "  ,, 35.75583 , 19.19444 , 150.992 , -38.636 , "875.8+/-217" , "1001.1+/-347.2" , "179.2+/-163" , "1263.7+/-272.2" , 1.4 , "No" , 0 , 0 , " " , "19.7+/-4.4" , "15.4+/-3.4" , "107.9+/-35.2" , 17.4
