_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
115 , "ROXA J081815.89+422245.4" , 124.56625 , 42.37928 , 0.53 , 18.1 , 0 , 0 , 18.6 , 1091.3 , 7.8e-13 , "BL Lac" , 1.24 , 0.76 , 0.94 , "8.574e+44" , "1.200e+34" , -0.45 , "1RXS J081817.0+4222" , "178.22" , "33.4"
116 , "ROXA J081915.59+264150.6" , 124.815 , 26.69739 , 0.53 , 18.8 , 0 , 0 , 18.7 , 255.2 , 7.1e-13 , "QSO RLoud steep radio sp." , 0.94 , 0.68 , 0.79 , "7.699e+44" , "2.767e+33" , 0.65 , "1RXS J081916.0+2641" , "196.29" , "30.14"
117 , "ROXA J082028.09+485347.29" , 125.11708 , 48.89647 , 0.13 , 15.7 , 0 , 0 , 16.8 , 193 , 6.1e-13 , "Radio Galaxy" , 1.63 , 0.34 , 0.78 , "2.809e+43" , "8.887e+31" , 0.67 , "1RXS J082030.4+4853" , "170.45" , "34.41"
118 , "ROXA J082133.6+470237.28" , 125.39 , 47.04369 , 0.13 , 16.9 , 0 , 0 , 17.9 , 1787.9 , 5.2e-13 , "BLRG" , 1.48 , 0.6 , 0.9 , "2.240e+43" , "7.702e+32" , 0.89 , "1RXS J082135.5+4702" , "172.71" , "34.48"
119 , "ROXA J082455.39+391641.91" , 126.23083 , 39.27831 , 1.22 , 17.9 , 0 , 0 , 18.2 , 1481.4 , 3e-12 , "QSO RLoud flat radio sp." , 1.03 , 0.67 , 0.84 , "2.542e+46" , "1.255e+35" , "--" , "1RXS J082456.0+3916" , "182.14" , "34.19"
120 , "ROXA J082547.29+270421.89" , 126.44708 , 27.07275 , 0.69 , 19.7 , 0 , 0 , 19.7 , 108.5 , 8.2e-13 , "QSO RLoud flat radio sp." , 1.01 , 0.59 , 0.76 , "1.736e+45" , "2.298e+33" , "--" , "1RXS J082546.7+2704" , "196.37" , "31.64"
121 , "ROXA J082549.9+030921.38" , 126.45792 , 3.15594 , 0.51 , 16.1 , 0 , 0 , 17.2 , 1400.7 , 3.4e-12 , "BL Lac" , 1.26 , 0.57 , 0.83 , "3.359e+45" , "1.384e+34" , "--" , "1RXS J082550.2+0309" , "221.21" , "22.38"
122 , "ROXA J082705.39+374841.18" , 126.7725 , 37.81144 , 0.21 , 17.1 , 0 , 0 , 18.6 , 385.9 , 9.8e-13 , "Radio Galaxy" , 1.3 , 0.42 , 0.73 , "1.203e+44" , "4.737e+32" , 1.65 , "1RXS J082701.7+3748" , "183.97" , "34.37"
123 , "ROXA J082814.2+415351.9" , 127.05917 , 41.89775 , 0.23 , 17.3 , 0 , 0 , 18.3 , 91.1 , 2.3e-12 , "BL Lac" , 1.16 , 0.4 , 0.67 , "3.476e+44" , "1.377e+32" , 0.55 , "1RXS J082814.5+4153" , "179.09" , "35.17"
124 , "ROXA J083052.0+241059.8" , 127.71667 , 24.18328 , 0.94 , 17.1 , 0 , 0 , 17.4 , 739.2 , 2.9e-12 , "QSO RLoud flat radio sp." , 1.17 , 0.56 , 0.8 , "1.303e+46" , "3.322e+34" , "--" , "1RXS J083051.5+2410" , "200.02" , "31.87"
